,0,1,2,3,4,5,6,7
72,Saturday 23rd April 2016,2,14,26,35,44,59,24
73,Wednesday 20th April 2016,1,7,9,10,12,31,28
74,Saturday 16th April 2016,2,5,14,42,51,55,54
75,Wednesday 13th April 2016,13,15,17,19,35,57,21
76,Saturday 9th April 2016,20,22,25,34,47,51,18
77,Wednesday 6th April 2016,15,17,31,41,50,57,5
78,Saturday 2nd April 2016,7,14,20,33,47,55,15
79,Wednesday 30th March 2016,5,13,24,31,40,41,7
80,Saturday 26th March 2016,5,12,43,51,53,57,28
81,Wednesday 23rd March 2016,7,14,21,35,41,42,43
82,Saturday 19th March 2016,21,27,31,34,40,54,22
83,Wednesday 16th March 2016,13,14,31,42,44,58,1
84,Saturday 12th March 2016,13,21,30,39,51,56,1
85,Wednesday 9th March 2016,26,31,35,37,40,49,36
86,Saturday 5th March 2016,11,19,29,37,40,41,47
87,Wednesday 2nd March 2016,4,15,21,26,39,58,20
88,Saturday 27th February 2016,11,14,22,37,53,56,55
89,Wednesday 24th February 2016,4,14,18,19,26,27,25
90,Saturday 20th February 2016,2,17,35,41,57,59,42
91,Wednesday 17th February 2016,5,15,33,47,51,59,7
92,Saturday 13th February 2016,15,16,23,39,48,59,36
93,Wednesday 10th February 2016,2,13,25,32,37,39,48
94,Saturday 6th February 2016,10,12,18,34,52,56,50
95,Wednesday 3rd February 2016,23,25,34,36,37,54,49
96,Saturday 30th January 2016,1,6,21,31,41,44,42
97,Wednesday 27th January 2016,8,38,41,42,50,58,24
98,Saturday 23rd January 2016,8,9,10,11,41,54,24
99,Wednesday 20th January 2016,18,36,37,38,54,57,14
100,Saturday 16th January 2016,1,8,12,25,43,52,38
101,Wednesday 13th January 2016,4,12,38,46,57,59,8
102,Saturday 9th January 2016,26,27,46,47,52,58,48
103,Wednesday 6th January 2016,8,30,40,50,54,57,13
104,Saturday 2nd January 2016,12,25,29,40,48,56,52
