,0,1,2,3,4,5,6,7
0,Wednesday 31st December 2014,12,18,22,37,38,49,35
1,Saturday 27th December 2014,11,23,28,30,32,46,49
2,Wednesday 24th December 2014,7,9,13,44,47,48,22
3,Saturday 20th December 2014,18,22,23,32,40,42,28
4,Wednesday 17th December 2014,2,19,24,33,35,46,12
5,Saturday 13th December 2014,18,30,33,34,38,48,36
6,Wednesday 10th December 2014,14,15,31,36,42,47,1
7,Saturday 6th December 2014,19,23,40,43,45,49,8
8,Wednesday 3rd December 2014,4,17,19,25,35,37,7
9,Saturday 29th November 2014,6,11,18,19,38,42,17
10,Wednesday 26th November 2014,26,28,29,30,41,49,31
11,Saturday 22nd November 2014,2,3,5,15,22,29,26
12,Wednesday 19th November 2014,2,15,35,36,38,39,4
13,Saturday 15th November 2014,5,26,28,30,42,44,40
14,Wednesday 12th November 2014,5,9,10,13,41,44,39
15,Saturday 8th November 2014,6,7,22,27,35,42,1
16,Wednesday 5th November 2014,2,5,21,25,34,36,28
17,Saturday 1st November 2014,3,5,9,28,35,47,14
18,Wednesday 29th October 2014,13,14,17,25,31,49,18
19,Saturday 25th October 2014,11,15,17,30,43,49,3
20,Wednesday 22nd October 2014,5,24,28,36,42,47,8
21,Saturday 18th October 2014,1,22,30,33,40,47,42
22,Wednesday 15th October 2014,6,19,24,26,42,43,23
23,Saturday 11th October 2014,2,5,8,23,26,32,18
24,Wednesday 8th October 2014,4,27,28,29,34,43,20
25,Saturday 4th October 2014,4,18,24,34,36,48,10
26,Wednesday 1st October 2014,1,4,5,7,18,47,6
27,Saturday 27th September 2014,1,3,7,19,20,46,15
28,Wednesday 24th September 2014,4,8,29,33,38,48,15
29,Saturday 20th September 2014,2,6,22,26,33,48,43
30,Wednesday 17th September 2014,9,19,22,34,41,46,6
31,Saturday 13th September 2014,12,15,22,29,30,35,44
32,Wednesday 10th September 2014,13,16,18,24,31,43,2
33,Saturday 6th September 2014,11,29,32,37,40,48,14
34,Wednesday 3rd September 2014,12,22,23,27,34,35,25
35,Saturday 30th August 2014,1,19,20,30,35,46,40
36,Wednesday 27th August 2014,5,17,29,36,37,49,2
37,Saturday 23rd August 2014,1,7,11,38,41,42,45
38,Wednesday 20th August 2014,6,12,15,24,35,47,22
39,Saturday 16th August 2014,1,3,25,33,36,42,14
40,Wednesday 13th August 2014,5,9,11,20,23,30,45
41,Saturday 9th August 2014,16,36,40,43,45,47,10
42,Wednesday 6th August 2014,17,21,29,33,35,46,28
43,Saturday 2nd August 2014,13,23,28,37,42,45,25
44,Wednesday 30th July 2014,2,5,11,22,24,42,1
45,Saturday 26th July 2014,8,14,22,26,35,37,11
46,Wednesday 23rd July 2014,14,18,20,30,43,47,35
47,Saturday 19th July 2014,5,9,14,25,34,38,40
48,Wednesday 16th July 2014,4,11,22,27,47,49,33
49,Saturday 12th July 2014,3,19,23,28,37,43,34
50,Wednesday 9th July 2014,3,8,11,12,39,43,18
51,Saturday 5th July 2014,8,15,23,24,28,34,9
52,Wednesday 2nd July 2014,1,18,20,38,43,48,42
53,Saturday 28th June 2014,8,12,28,30,43,49,42
54,Wednesday 25th June 2014,5,15,19,25,34,36,40
55,Saturday 21st June 2014,3,7,13,17,27,40,19
56,Wednesday 18th June 2014,10,11,18,23,26,37,6
57,Saturday 14th June 2014,9,18,22,23,29,33,15
58,Wednesday 11th June 2014,11,13,14,28,40,42,48
59,Saturday 7th June 2014,5,10,16,23,31,44,37
60,Wednesday 4th June 2014,14,19,30,31,47,48,16
61,Saturday 31st May 2014,7,9,18,24,39,40,4
62,Wednesday 28th May 2014,18,26,32,36,40,45,21
63,Saturday 24th May 2014,10,31,35,40,41,44,46
64,Wednesday 21st May 2014,2,5,9,28,29,48,36
65,Saturday 17th May 2014,10,19,20,33,43,46,25
66,Wednesday 14th May 2014,15,26,29,35,36,41,19
67,Saturday 10th May 2014,3,5,8,10,16,17,46
68,Wednesday 7th May 2014,16,17,22,38,44,49,14
69,Saturday 3rd May 2014,1,7,9,27,30,48,28
70,Wednesday 30th April 2014,9,25,34,37,44,45,6
71,Saturday 26th April 2014,17,22,23,33,36,42,12
72,Wednesday 23rd April 2014,16,18,29,34,35,39,40
73,Saturday 19th April 2014,13,20,31,34,36,44,11
74,Wednesday 16th April 2014,1,6,10,23,25,40,32
75,Saturday 12th April 2014,4,17,22,26,31,47,32
76,Wednesday 9th April 2014,8,17,20,32,41,43,9
77,Saturday 5th April 2014,3,7,20,31,43,45,41
78,Wednesday 2nd April 2014,14,16,20,38,39,45,23
79,Saturday 29th March 2014,8,14,16,21,47,49,29
80,Wednesday 26th March 2014,20,29,33,35,37,40,5
81,Saturday 22nd March 2014,17,20,28,39,43,44,40
82,Wednesday 19th March 2014,4,21,25,27,31,49,26
83,Saturday 15th March 2014,14,19,22,25,38,48,8
84,Wednesday 12th March 2014,11,12,16,20,35,46,34
85,Saturday 8th March 2014,2,9,12,26,31,44,5
86,Wednesday 5th March 2014,1,4,5,8,25,46,30
87,Saturday 1st March 2014,4,9,10,13,29,40,45
88,Wednesday 26th February 2014,3,10,11,24,25,35,43
89,Saturday 22nd February 2014,19,23,34,35,39,49,33
90,Wednesday 19th February 2014,17,19,35,37,46,48,2
91,Saturday 15th February 2014,15,17,19,22,33,40,27
92,Wednesday 12th February 2014,3,7,20,24,30,39,48
93,Saturday 8th February 2014,8,25,27,36,39,44,4
94,Wednesday 5th February 2014,12,13,28,33,46,49,29
95,Saturday 1st February 2014,27,34,35,36,41,48,29
96,Wednesday 29th January 2014,9,29,37,38,42,46,35
97,Saturday 25th January 2014,4,15,21,30,41,49,11
98,Wednesday 22nd January 2014,2,6,9,18,24,35,19
99,Saturday 18th January 2014,7,12,23,27,30,31,33
100,Wednesday 15th January 2014,4,11,13,24,32,46,19
101,Saturday 11th January 2014,22,23,25,27,28,46,24
102,Wednesday 8th January 2014,19,23,31,36,45,46,27
103,Saturday 4th January 2014,4,11,18,28,41,44,8
104,Wednesday 1st January 2014,9,12,16,22,26,48,14
