,0,1,2,3,4,5,6,7
0,Saturday 29th December 2018,26,31,38,40,45,57,28
1,Wednesday 26th December 2018,7,14,35,45,54,58,1
2,Saturday 22nd December 2018,4,15,17,24,32,56,31
3,Wednesday 19th December 2018,12,24,33,34,39,56,38
4,Saturday 15th December 2018,5,26,34,35,43,49,19
5,Wednesday 12th December 2018,3,22,31,46,51,59,53
6,Saturday 8th December 2018,6,23,36,38,43,48,17
7,Wednesday 5th December 2018,1,6,13,23,45,56,41
8,Saturday 1st December 2018,5,8,9,12,31,49,57
9,Wednesday 28th November 2018,36,39,45,46,48,52,38
10,Saturday 24th November 2018,15,27,30,32,42,43,10
11,Wednesday 21st November 2018,24,31,35,42,46,53,9
12,Saturday 17th November 2018,4,5,9,12,17,42,32
13,Wednesday 14th November 2018,4,11,20,45,48,53,16
14,Saturday 10th November 2018,7,12,17,38,42,44,53
15,Wednesday 7th November 2018,4,5,9,40,46,59,58
16,Saturday 3rd November 2018,16,31,41,45,47,52,53
17,Wednesday 31st October 2018,5,14,20,24,28,45,21
18,Saturday 27th October 2018,1,6,25,26,31,39,56
19,Wednesday 24th October 2018,9,22,32,40,51,59,17
20,Saturday 20th October 2018,12,18,40,42,46,59,49
21,Wednesday 17th October 2018,1,5,6,20,51,54,56
22,Saturday 13th October 2018,19,26,40,52,56,58,38
23,Wednesday 10th October 2018,10,49,50,53,54,56,4
24,Saturday 6th October 2018,23,26,30,32,37,39,5
25,Wednesday 3rd October 2018,3,5,11,25,27,45,18
26,Saturday 29th September 2018,17,36,40,44,54,58,27
27,Wednesday 26th September 2018,3,8,37,39,47,59,42
28,Saturday 22nd September 2018,5,16,18,20,25,55,36
29,Wednesday 19th September 2018,7,20,25,26,34,40,59
30,Saturday 15th September 2018,25,42,48,50,55,58,44
31,Wednesday 12th September 2018,11,12,13,14,54,56,36
32,Saturday 8th September 2018,7,19,33,34,52,53,48
33,Wednesday 5th September 2018,12,18,22,23,48,59,47
34,Saturday 1st September 2018,3,21,22,38,46,55,50
35,Wednesday 29th August 2018,19,23,30,50,51,54,55
36,Saturday 25th August 2018,9,22,33,39,41,56,48
37,Wednesday 22nd August 2018,15,20,21,25,34,47,36
38,Saturday 18th August 2018,1,2,6,12,13,55,11
39,Wednesday 15th August 2018,3,28,34,41,48,58,54
40,Saturday 11th August 2018,1,3,10,18,19,37,57
41,Wednesday 8th August 2018,8,19,20,27,31,34,7
42,Saturday 4th August 2018,5,17,23,25,34,51,52
43,Wednesday 1st August 2018,15,17,18,34,46,54,4
44,Saturday 28th July 2018,11,29,31,32,38,45,10
45,Wednesday 25th July 2018,5,19,20,23,30,43,6
