,0,1,2,3,4,5,6,7
46,Saturday 21st July 2018,9,13,16,25,40,46,52
47,Wednesday 18th July 2018,22,34,44,49,51,53,33
48,Saturday 14th July 2018,4,8,13,26,41,55,58
49,Wednesday 11th July 2018,8,11,17,25,33,46,13
50,Saturday 7th July 2018,17,18,29,48,52,54,1
51,Wednesday 4th July 2018,8,13,22,46,52,58,7
52,Saturday 30th June 2018,6,28,32,45,46,49,50
53,Wednesday 27th June 2018,4,41,45,54,57,58,26
54,Saturday 23rd June 2018,1,10,15,25,31,47,53
55,Wednesday 20th June 2018,15,22,26,35,41,43,1
56,Saturday 16th June 2018,10,18,36,37,41,46,8
57,Wednesday 13th June 2018,5,15,22,33,38,45,11
58,Saturday 9th June 2018,3,17,20,55,56,58,57
59,Wednesday 6th June 2018,12,22,31,35,42,58,55
60,Saturday 2nd June 2018,4,32,38,43,51,58,10
61,Wednesday 30th May 2018,4,5,8,26,32,39,16
62,Saturday 26th May 2018,9,14,19,29,39,40,3
63,Wednesday 23rd May 2018,1,15,17,32,36,45,5
64,Saturday 19th May 2018,1,3,34,36,48,52,22
65,Wednesday 16th May 2018,4,22,26,32,48,54,57
66,Saturday 12th May 2018,1,15,21,30,35,44,5
67,Wednesday 9th May 2018,18,21,25,30,56,59,5
68,Saturday 5th May 2018,2,9,14,49,52,56,41
69,Wednesday 2nd May 2018,4,8,10,26,38,48,41
70,Saturday 28th April 2018,3,11,37,38,43,44,20
71,Wednesday 25th April 2018,5,14,18,40,41,50,12
72,Saturday 21st April 2018,2,8,9,12,20,57,38
73,Wednesday 18th April 2018,4,11,21,39,41,59,58
74,Saturday 14th April 2018,10,40,42,46,47,48,38
75,Wednesday 11th April 2018,21,25,32,52,56,59,28
76,Saturday 7th April 2018,1,4,31,33,52,55,13
77,Wednesday 4th April 2018,1,9,15,26,38,43,14
78,Saturday 31st March 2018,6,8,20,26,35,36,39
79,Wednesday 28th March 2018,2,6,7,15,52,54,45
80,Saturday 24th March 2018,3,11,16,36,43,59,49
81,Wednesday 21st March 2018,2,35,44,51,54,55,45
82,Saturday 17th March 2018,7,8,13,24,45,46,39
83,Wednesday 14th March 2018,7,19,38,45,47,53,15
84,Saturday 10th March 2018,3,7,36,42,53,59,50
85,Wednesday 7th March 2018,8,10,22,37,55,57,29
86,Saturday 3rd March 2018,15,19,20,29,42,50,36
87,Wednesday 28th February 2018,9,10,27,30,33,45,29
88,Saturday 24th February 2018,2,11,35,40,48,55,7
89,Wednesday 21st February 2018,14,25,29,30,35,53,38
90,Saturday 17th February 2018,5,8,9,10,38,53,56
91,Wednesday 14th February 2018,2,8,33,46,48,50,5
92,Saturday 10th February 2018,3,12,15,29,51,58,13
93,Wednesday 7th February 2018,5,19,29,34,40,45,57
94,Saturday 3rd February 2018,8,26,27,29,49,58,38
95,Wednesday 31st January 2018,5,19,21,42,44,57,18
96,Saturday 27th January 2018,29,33,43,45,49,56,16
97,Wednesday 24th January 2018,1,22,39,44,48,59,5
98,Saturday 20th January 2018,2,10,19,28,29,31,47
99,Wednesday 17th January 2018,30,33,37,43,55,56,46
100,Saturday 13th January 2018,6,7,9,18,35,46,5
101,Wednesday 10th January 2018,6,11,27,29,40,55,45
102,Saturday 6th January 2018,18,28,31,32,44,51,50
103,Wednesday 3rd January 2018,11,19,20,30,35,49,44
