,0,1,2,3,4,5,6,7
71,Wednesday 26th April 2017,12,15,30,43,47,59,41
72,Saturday 22nd April 2017,4,6,34,37,42,52,24
73,Wednesday 19th April 2017,4,27,47,54,55,59,45
74,Saturday 15th April 2017,8,10,16,19,23,31,48
75,Wednesday 12th April 2017,3,16,34,42,49,52,50
76,Saturday 8th April 2017,14,23,36,45,47,50,21
77,Wednesday 5th April 2017,10,16,18,32,42,45,30
78,Saturday 1st April 2017,1,2,11,23,25,54,14
79,Wednesday 29th March 2017,5,6,16,32,42,51,39
80,Saturday 25th March 2017,39,48,52,53,54,58,28
81,Wednesday 22nd March 2017,6,11,12,19,27,31,42
82,Saturday 18th March 2017,3,8,19,26,37,41,43
83,Wednesday 15th March 2017,6,24,27,38,39,58,55
84,Saturday 11th March 2017,6,15,23,29,55,57,46
85,Wednesday 8th March 2017,11,19,22,42,43,49,48
86,Saturday 4th March 2017,24,38,39,40,49,56,21
87,Wednesday 1st March 2017,2,7,21,22,47,53,42
88,Saturday 25th February 2017,18,24,34,38,41,49,26
89,Wednesday 22nd February 2017,1,16,28,31,38,54,5
90,Saturday 18th February 2017,11,13,21,37,49,59,4
91,Wednesday 15th February 2017,17,23,28,38,47,56,31
92,Saturday 11th February 2017,15,18,23,42,43,52,28
93,Wednesday 8th February 2017,7,23,41,44,49,54,37
94,Saturday 4th February 2017,6,9,27,30,40,50,22
95,Wednesday 1st February 2017,6,8,15,31,45,58,39
96,Saturday 28th January 2017,5,21,23,34,43,45,20
97,Wednesday 25th January 2017,4,9,20,23,37,53,39
98,Saturday 21st January 2017,4,13,37,40,52,58,51
99,Wednesday 18th January 2017,8,14,20,27,28,53,45
100,Saturday 14th January 2017,14,19,21,36,53,54,33
101,Wednesday 11th January 2017,21,26,29,35,46,59,10
102,Saturday 7th January 2017,8,16,33,36,45,51,38
103,Wednesday 4th January 2017,10,29,37,42,48,49,32
