,0,1,2,3,4,5,6,7
0,Saturday 30th December 2017,33,37,42,47,55,58,34
1,Wednesday 27th December 2017,18,36,48,57,58,59,50
2,Saturday 23rd December 2017,20,32,36,44,47,56,41
3,Wednesday 20th December 2017,10,20,28,38,41,46,16
4,Saturday 16th December 2017,22,25,35,45,46,57,14
5,Wednesday 13th December 2017,6,14,23,24,43,58,40
6,Saturday 9th December 2017,2,32,37,39,46,54,19
7,Wednesday 6th December 2017,3,19,24,31,50,52,16
8,Saturday 2nd December 2017,4,9,13,32,46,50,52
9,Wednesday 29th November 2017,20,32,42,43,53,58,8
10,Saturday 25th November 2017,4,7,29,45,54,56,8
11,Wednesday 22nd November 2017,2,16,17,27,36,37,42
12,Saturday 18th November 2017,1,20,24,36,54,58,11
13,Wednesday 15th November 2017,2,11,22,36,51,59,7
14,Saturday 11th November 2017,4,16,27,30,41,49,54
15,Wednesday 8th November 2017,2,17,25,32,42,49,4
16,Saturday 4th November 2017,6,20,23,29,35,53,57
17,Wednesday 1st November 2017,13,14,18,19,21,36,53
18,Saturday 28th October 2017,8,15,33,42,55,58,53
19,Wednesday 25th October 2017,1,3,11,37,49,58,21
20,Saturday 21st October 2017,3,31,37,41,44,59,32
21,Wednesday 18th October 2017,11,12,15,22,27,44,7
22,Saturday 14th October 2017,6,22,40,43,47,58,42
23,Wednesday 11th October 2017,17,38,49,54,55,56,13
24,Saturday 7th October 2017,15,20,30,37,47,51,21
25,Wednesday 4th October 2017,12,20,32,38,48,54,5
26,Saturday 30th September 2017,13,18,21,30,50,54,20
27,Wednesday 27th September 2017,30,35,45,47,52,55,40
28,Saturday 23rd September 2017,17,18,26,39,54,56,57
29,Wednesday 20th September 2017,8,20,25,50,51,58,45
30,Saturday 16th September 2017,1,6,31,37,49,50,38
31,Wednesday 13th September 2017,4,11,14,21,29,56,27
32,Saturday 9th September 2017,4,7,13,49,56,58,6
33,Wednesday 6th September 2017,16,30,34,50,52,53,46
34,Saturday 2nd September 2017,30,33,35,40,41,59,8
35,Wednesday 30th August 2017,34,42,46,57,58,59,38
36,Saturday 26th August 2017,20,25,34,41,42,52,58
37,Wednesday 23rd August 2017,8,16,21,41,44,56,45
38,Saturday 19th August 2017,12,25,39,46,52,55,3
39,Wednesday 16th August 2017,7,17,28,43,44,45,54
40,Saturday 12th August 2017,10,27,49,52,55,56,17
41,Wednesday 9th August 2017,5,9,25,34,51,59,44
42,Saturday 5th August 2017,14,24,30,45,49,56,27
43,Wednesday 2nd August 2017,4,6,24,35,45,52,8
44,Saturday 29th July 2017,1,26,41,55,56,59,36
45,Wednesday 26th July 2017,5,10,29,35,55,56,30
46,Saturday 22nd July 2017,5,13,21,35,41,47,23
47,Wednesday 19th July 2017,2,6,14,16,25,36,42
48,Saturday 15th July 2017,7,8,14,47,56,58,23
49,Wednesday 12th July 2017,7,14,19,38,40,45,18
50,Saturday 8th July 2017,1,11,18,27,32,50,25
51,Wednesday 5th July 2017,16,18,25,27,29,57,4
52,Saturday 1st July 2017,2,19,36,52,54,59,6
53,Wednesday 28th June 2017,2,10,21,23,54,56,44
54,Saturday 24th June 2017,4,16,26,39,42,54,24
55,Wednesday 21st June 2017,1,3,5,11,15,43,48
56,Saturday 17th June 2017,1,11,16,20,24,44,42
57,Wednesday 14th June 2017,2,4,14,23,34,46,45
58,Saturday 10th June 2017,10,18,28,35,36,50,2
59,Wednesday 7th June 2017,6,8,12,36,37,41,50
60,Saturday 3rd June 2017,12,19,21,38,47,51,48
61,Wednesday 31st May 2017,18,23,28,52,56,59,36
62,Saturday 27th May 2017,20,22,31,39,41,54,33
63,Wednesday 24th May 2017,3,30,44,45,55,59,37
64,Saturday 20th May 2017,7,8,13,29,43,53,16
65,Wednesday 17th May 2017,3,19,20,24,30,38,41
66,Saturday 13th May 2017,7,14,15,21,23,57,52
67,Wednesday 10th May 2017,7,12,17,35,37,58,25
68,Saturday 6th May 2017,5,34,36,38,39,48,30
69,Wednesday 3rd May 2017,13,22,24,34,41,57,40
70,Saturday 29th April 2017,24,29,30,36,46,48,7
