,0,1,2,3,4,5,6,7
0,Wednesday 30th December 2015,22,31,47,52,55,59,23
1,Saturday 26th December 2015,17,21,31,38,44,58,20
2,Wednesday 23rd December 2015,1,2,4,19,28,41,32
3,Saturday 19th December 2015,13,14,27,46,48,50,42
4,Wednesday 16th December 2015,10,12,35,46,48,57,14
5,Saturday 12th December 2015,15,22,25,40,53,57,23
6,Wednesday 9th December 2015,3,8,14,28,34,53,32
7,Saturday 5th December 2015,10,11,15,50,51,56,23
8,Wednesday 2nd December 2015,9,11,14,28,37,42,12
9,Saturday 28th November 2015,7,12,20,24,34,52,18
10,Wednesday 25th November 2015,18,29,38,41,43,57,8
11,Saturday 21st November 2015,2,8,10,11,32,47,18
12,Wednesday 18th November 2015,9,23,30,46,49,55,37
13,Saturday 14th November 2015,2,23,39,54,55,57,11
14,Wednesday 11th November 2015,2,17,27,28,51,52,14
15,Saturday 7th November 2015,2,3,34,43,49,50,38
16,Wednesday 4th November 2015,11,13,18,25,29,47,59
17,Saturday 31st October 2015,26,39,41,42,55,59,16
18,Wednesday 28th October 2015,26,36,41,46,49,52,9
19,Saturday 24th October 2015,29,31,43,55,58,59,11
20,Wednesday 21st October 2015,13,14,21,25,51,53,39
21,Saturday 17th October 2015,8,30,37,40,46,50,36
22,Wednesday 14th October 2015,7,13,20,27,39,52,35
23,Saturday 10th October 2015,2,3,16,32,53,54,8
24,Wednesday 7th October 2015,5,7,11,30,44,49,25
25,Saturday 3rd October 2015,7,8,9,14,35,44,4
26,Wednesday 30th September 2015,5,8,11,17,40,45,6
27,Saturday 26th September 2015,9,17,31,33,41,42,26
28,Wednesday 23rd September 2015,9,17,21,23,35,36,37
29,Saturday 19th September 2015,14,26,28,31,32,44,22
30,Wednesday 16th September 2015,12,14,21,22,37,43,36
31,Saturday 12th September 2015,14,20,28,31,40,46,44
32,Wednesday 9th September 2015,6,18,20,21,29,31,3
33,Saturday 5th September 2015,24,29,33,40,43,49,22
34,Wednesday 2nd September 2015,2,9,27,29,33,40,46
35,Saturday 29th August 2015,12,18,23,33,42,43,10
36,Wednesday 26th August 2015,3,4,7,18,48,49,32
37,Saturday 22nd August 2015,7,19,22,28,40,44,31
38,Wednesday 19th August 2015,5,6,7,25,27,33,34
39,Saturday 15th August 2015,4,8,10,21,41,49,28
40,Wednesday 12th August 2015,6,15,17,20,24,25,37
41,Saturday 8th August 2015,6,22,28,30,39,44,33
42,Wednesday 5th August 2015,5,8,12,28,39,41,18
43,Saturday 1st August 2015,1,16,27,42,46,47,24
44,Wednesday 29th July 2015,18,21,31,42,45,47,19
45,Saturday 25th July 2015,2,4,5,15,20,48,37
46,Wednesday 22nd July 2015,7,23,26,33,38,45,29
47,Saturday 18th July 2015,8,15,17,33,41,47,35
48,Wednesday 15th July 2015,4,7,14,21,22,29,41
49,Saturday 11th July 2015,6,12,32,36,38,47,1
50,Wednesday 8th July 2015,3,10,35,38,40,41,27
51,Saturday 4th July 2015,13,14,35,39,46,49,3
52,Wednesday 1st July 2015,4,10,13,18,29,33,49
53,Saturday 27th June 2015,2,4,8,21,30,38,22
54,Wednesday 24th June 2015,14,23,28,33,35,42,4
55,Saturday 20th June 2015,1,6,23,25,32,35,27
56,Wednesday 17th June 2015,2,8,12,15,21,42,22
57,Saturday 13th June 2015,18,23,25,37,39,47,17
58,Wednesday 10th June 2015,23,29,30,39,42,49,5
59,Saturday 6th June 2015,10,14,19,24,28,33,6
60,Wednesday 3rd June 2015,17,32,39,40,43,49,2
61,Saturday 30th May 2015,6,7,23,27,38,49,24
62,Wednesday 27th May 2015,12,27,28,39,41,48,3
63,Saturday 23rd May 2015,1,8,22,30,34,40,25
64,Wednesday 20th May 2015,6,9,22,38,39,41,37
65,Saturday 16th May 2015,7,11,15,32,46,48,17
66,Wednesday 13th May 2015,1,5,21,33,34,47,31
67,Saturday 9th May 2015,5,17,22,31,40,48,18
